,blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,lat,long
3675,3408 093,1512 KENSETT ST,PENN NORTH,7.0,WESTERN,"(39.3133284, -76.64351673)",39.3133284,-76.64351673
3676,6195 006,0,PULASKI INDUSTRIAL AREA,2.0,NORTHEASTERN,"(39.30897944, -76.53913233)",39.30897944,-76.53913233
3677,8030G014,4602 OLD FREDERICK ROAD,UPLANDS,8.0,SOUTHWESTERN,"(39.29271052, -76.69475299)",39.29271052,-76.69475299
3678,6978 008,0,SAINT HELENA,1.0,SOUTHEASTERN,"(39.26361434, -76.531217)",39.26361434,-76.531217
3679,1102 129,0,OLIVER,12.0,EASTERN,"(39.31151253, -76.59576877)",39.31151253,-76.59576877
3680,3404 055,2615 PENNSYLVANIA AVE,PENN NORTH,7.0,WESTERN,"(39.31175541, -76.64414196)",39.31175541,-76.64414196
3681,1167 035,1109 BRENTWOOD AVE,JOHNSTON SQUARE,12.0,EASTERN,"(39.30309211, -76.6093336)",39.30309211,-76.6093336
3682,3408 117,2516 SALEM ST,PENN NORTH,7.0,WESTERN,"(39.31268078, -76.64311196)",39.31268078,-76.64311196
3683,0252 050,934 W PRATT ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28599085, -76.6332526)",39.28599085,-76.6332526
3684,2024 129M,1436 HARPER ST,LOCUST POINT,11.0,SOUTHERN,"(39.26759672, -76.5887583)",39.26759672,-76.5887583
3685,2475A003,0,FRANKLINTOWN ROAD,9.0,SOUTHWESTERN,"(39.29535871, -76.66884141)",39.29535871,-76.66884141
3686,0313 051,2001 PENNSYLVANIA AVE,UPTON,11.0,CENTRAL,"(39.30609456, -76.63756592)",39.30609456,-76.63756592
3687,7610 009,0,CHERRY HILL,10.0,SOUTHERN,"(39.25385425, -76.62058369)",39.25385425,-76.62058369
3688,3805 054,430 WORSLEY ST,BARCLAY,12.0,EASTERN,"(39.31294479, -76.60999719)",39.31294479,-76.60999719
3689,3400 036,1738 W NORTH AVE,PENN NORTH,7.0,WESTERN,"(39.31015093, -76.64607852)",39.31015093,-76.64607852
3690,5545 019A,0,NORTH HARFORD ROAD,3.0,NORTHEASTERN,"(39.36625178, -76.54476333)",39.36625178,-76.54476333
3691,0042 113,1132 N VINCENT ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30189049, -76.64397902)",39.30189049,-76.64397902
3692,0049 065,0,BRIDGEVIEW/GREENLAWN,9.0,WESTERN,"(39.30182037, -76.64860862)",39.30182037,-76.64860862
3693,0124 040,527 N STRICKER ST,HARLEM PARK,9.0,WESTERN,"(39.29477713, -76.64104205)",39.29477713,-76.64104205
3694,8030F001A,0,UPLANDS,8.0,SOUTHWESTERN,"(39.29206677, -76.69753519)",39.29206677,-76.69753519
3695,8030F001A,0,TEN HILLS,8.0,SOUTHWESTERN,"(39.288177, -76.69674185)",39.288177,-76.69674185
3696,8030F001A,0,IRVINGTON,8.0,SOUTHWESTERN,"(39.2847567, -76.69299332)",39.2847567,-76.69299332
3697,8030F001A,0,UPLANDS,8.0,SOUTHWESTERN,"(39.28926751, -76.69630592)",39.28926751,-76.69630592
3698,3822 048,212 E 23RD ST,BARCLAY,12.0,NORTHERN,"(39.31561073, -76.61344969)",39.31561073,-76.61344969
3699,4511D064,5300 TIPPETT AVE,WOODMERE,5.0,NORTHWESTERN,"(39.3463174, -76.68692072)",39.3463174,-76.68692072
3700,1476B074,1613 N LUZERNE AVE,BEREA,13.0,EASTERN,"(39.30955968, -76.58130358)",39.30955968,-76.58130358
3701,5424 010,0,HAMILTON HILLS,3.0,NORTHEASTERN,"(39.36173173, -76.56652249)",39.36173173,-76.56652249
3702,7567 010,0,CHERRY HILL,10.0,SOUTHERN,"(39.24588699, -76.63563968)",39.24588699,-76.63563968
3703,0185 048,1120 W FAYETTE ST,POPPLETON,9.0,WESTERN,"(39.2900115, -76.6366643)",39.2900115,-76.6366643
3704,0219 021,945 W BALTIMORE ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.2885916, -76.63356238)",39.2885916,-76.63356238
3705,5197 018,619 WILLOW AVE,WILSON PARK,4.0,NORTHERN,"(39.34410525, -76.60669162)",39.34410525,-76.60669162
3706,3830 028,16 E 24TH ST,OLD GOUCHER,12.0,NORTHERN,"(39.31659296, -76.61593981)",39.31659296,-76.61593981
3707,4018 017,532 E 20TH ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.31276573, -76.60852284)",39.31276573,-76.60852284
3708,4130 014,1644 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32176402, -76.59369407)",39.32176402,-76.59369407
3709,0372 012,709 MOSHER ST,UPTON,11.0,CENTRAL,"(39.30022454, -76.63464219)",39.30022454,-76.63464219
3710,7805E005A,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.27106531, -76.65326758)",39.27106531,-76.65326758
3711,2216 001,0,PENROSE/FAYETTE STREET OUTREACH,9.0,SOUTHWESTERN,"(39.29405359, -76.66549679)",39.29405359,-76.66549679
3712,7001 011,0,HAWKINS POINT,10.0,SOUTHERN,"(39.20516723, -76.56898363)",39.20516723,-76.56898363
3713,4171 150,1913 N COLLINGTON AVE,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31308346, -76.58729187)",39.31308346,-76.58729187
3714,6570 063,4617 DILLON PL,GREEKTOWN,1.0,SOUTHEASTERN,"(39.28220767, -76.55668531)",39.28220767,-76.55668531
3715,2748F012,0,WINDSOR HILLS,6.0,NORTHWESTERN,"(39.31934592, -76.68781192)",39.31934592,-76.68781192
3716,7521 003,2414 SMITH AVE,LAKELAND,10.0,SOUTHERN,"(39.25254187, -76.65301206)",39.25254187,-76.65301206
3717,4544C049,0,ARLINGTON,5.0,NORTHWESTERN,"(39.34684836, -76.68036748)",39.34684836,-76.68036748
3718,3057 016,3429 MONDAWMIN AVE,HANLON-LONGWOOD,7.0,NORTHWESTERN,"(39.31488677, -76.67556708)",39.31488677,-76.67556708
3719,7481C006,0,LAKELAND,10.0,SOUTHERN,"(39.25841086, -76.64755415)",39.25841086,-76.64755415
3720,0859 041,0,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.28203236, -76.62639521)",39.28203236,-76.62639521
3721,0312 001,2000 PENNSYLVANIA AVE,UPTON,11.0,CENTRAL,"(39.3058366, -76.63786277)",39.3058366,-76.63786277
3722,1158 087,1219 HOLBROOK ST,OLIVER,12.0,EASTERN,"(39.3045782, -76.60275617)",39.3045782,-76.60275617
3723,3176 001,3738 REISTERSTOWN ROAD,PARK CIRCLE,6.0,NORTHWESTERN,"(39.33115686, -76.66241892)",39.33115686,-76.66241892
3724,5357 013,0,LAURAVILLE,3.0,NORTHEASTERN,"(39.34519225, -76.57323704)",39.34519225,-76.57323704
3725,7800 019,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26756284, -76.65413718)",39.26756284,-76.65413718
3726,0589 022,227 N PINE ST,UNIVERSITY OF MARYLAND,11.0,CENTRAL,"(39.29237422, -76.62691742)",39.29237422,-76.62691742
3727,0031 029,1823 LORMAN ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30395594, -76.64700233)",39.30395594,-76.64700233
3728,0500 041,706 W MONUMENT ST,SETON HILL,11.0,CENTRAL,"(39.29799011, -76.6227281)",39.29799011,-76.6227281
3729,0128 050,1010 W FRANKLIN ST,HARLEM PARK,9.0,WESTERN,"(39.29451314, -76.63452902)",39.29451314,-76.63452902
3730,1554 033,1125 N BRADFORD ST,BIDDLE STREET,13.0,EASTERN,"(39.30432281, -76.58459805)",39.30432281,-76.58459805
3731,8393O001,4923 WETHEREDSVILLE ROAD,WAKEFIELD,8.0,SOUTHWESTERN,"(39.31551717, -76.69946642)",39.31551717,-76.69946642
3732,0172 052,259 N SCHROEDER ST,POPPLETON,9.0,WESTERN,"(39.29229684, -76.63374595)",39.29229684,-76.63374595
3733,1380 045,1101 E LOMBARD ST,JONESTOWN,12.0,SOUTHEASTERN,"(39.28937745, -76.60149842)",39.28937745,-76.60149842
3734,4626A102,4653 DELAWARE AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34415715, -76.66875346)",39.34415715,-76.66875346
3735,0055D067,1106 RIGGS AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30139952, -76.63652869)",39.30139952,-76.63652869
3736,5506C033,0,TAYLOR HEIGHTS,3.0,NORTHEASTERN,"(39.37116331, -76.53643252)",39.37116331,-76.53643252
3737,6134A001A,3910 SHANNON DR,LOWER HERRING RUN PARK,13.0,NORTHEASTERN,"(39.3195155, -76.55741899)",39.3195155,-76.55741899
3738,1458 065,1702 N CHAPEL ST,BROADWAY EAST,12.0,EASTERN,"(39.31008884, -76.59107961)",39.31008884,-76.59107961
3739,2475D046A,0,FRANKLINTOWN ROAD,9.0,SOUTHWESTERN,"(39.29558259, -76.6678037)",39.29558259,-76.6678037
3740,4652B071,6333 GREEN MEADOW PKWY,CHESWOLDE,5.0,NORTHWESTERN,"(39.37194291, -76.67777415)",39.37194291,-76.67777415
3741,3190A001,3010 W COLD SPRING LANE,TOWANDA-GRANTLEY,6.0,NORTHWESTERN,"(39.33751467, -76.67239668)",39.33751467,-76.67239668
3742,8420 010,0,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.30987323, -76.71109206)",39.30987323,-76.71109206
3743,4511D022,0,WOODMERE,5.0,NORTHWESTERN,"(39.34662523, -76.68526604)",39.34662523,-76.68526604
3744,1165B025,317 E BIDDLE ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30344638, -76.61085925)",39.30344638,-76.61085925
3745,4100 032A,1420 EXETER HALL AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32069235, -76.60064632)",39.32069235,-76.60064632
3746,0373 072,0,UPTON,11.0,CENTRAL,"(39.30038747, -76.63354569)",39.30038747,-76.63354569
3747,0120 048,513 N MONROE ST,HARLEM PARK,9.0,WESTERN,"(39.29440455, -76.64702683)",39.29440455,-76.64702683
3748,6242E001H,0,PULASKI INDUSTRIAL AREA,2.0,SOUTHEASTERN,"(39.30012536, -76.54041026)",39.30012536,-76.54041026
3749,8139F004,0,BEECHFIELD,8.0,SOUTHWESTERN,"(39.27574427, -76.70267502)",39.27574427,-76.70267502
3750,4652C022A,2309 ROGENE DR,CHESWOLDE,5.0,NORTHWESTERN,"(39.36894223, -76.66926324)",39.36894223,-76.66926324
3751,0235 071,1004 BOYD ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28737228, -76.63412412)",39.28737228,-76.63412412
3752,3357F011,0,WOODBERRY,6.0,NORTHERN,"(39.34020057, -76.65481)",39.34020057,-76.65481
3753,3350D109,0,PARKLANE,6.0,NORTHERN,"(39.34189092, -76.66310719)",39.34189092,-76.66310719
3754,3938 027,1917 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14.0,NORTHEASTERN,"(39.32365921, -76.58853144)",39.32365921,-76.58853144
3755,0125 033,1321 EDMONDSON AVE,HARLEM PARK,9.0,WESTERN,"(39.29519622, -76.63960372)",39.29519622,-76.63960372
3756,2178 038,336 S FRANKLINTOWN ROAD,SHIPLEY HILL,9.0,SOUTHWESTERN,"(39.28281628, -76.65779809)",39.28281628,-76.65779809
3757,0651 009,733 W REDWOOD ST,UNIVERSITY OF MARYLAND,11.0,CENTRAL,"(39.28781546, -76.62735553)",39.28781546,-76.62735553
3758,2810 017A,3507 WINDSOR MILL ROAD,MOUNT HOLLY,7.0,SOUTHWESTERN,"(39.31161829, -76.67712907)",39.31161829,-76.67712907
3759,4171 035,1916 N PATTERSON PARK AVE,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31320008, -76.58627731)",39.31320008,-76.58627731
3760,3806 012,320 E 20TH ST,BARCLAY,12.0,EASTERN,"(39.31260918, -76.61180561)",39.31260918,-76.61180561
3761,0107 003,604 N MONROE ST,MIDTOWN-EDMONDSON,9.0,WESTERN,"(39.29559079, -76.64760544)",39.29559079,-76.64760544
3762,0172 157,213 OSING CT,POPPLETON,9.0,WESTERN,"(39.29134537, -76.63359496)",39.29134537,-76.63359496
3763,7885 012,2118 WICOMICO ST,SAINT PAUL,10.0,SOUTHERN,"(39.26922153, -76.64313217)",39.26922153,-76.64313217
3764,4017 014,726 E 20TH ST,EAST BALTIMORE MIDWAY,12.0,EASTERN,"(39.3128101, -76.60755114)",39.3128101,-76.60755114
3765,5779 016,0,WALTHERSON,3.0,NORTHEASTERN,"(39.34680918, -76.55637948)",39.34680918,-76.55637948
3766,0184 011,1214 W FAYETTE ST,POPPLETON,9.0,WESTERN,"(39.29010006, -76.63731433)",39.29010006,-76.63731433
3767,6263 021,0,KRESSON,2.0,SOUTHEASTERN,"(39.29376038, -76.56057622)",39.29376038,-76.56057622
3768,1532 018,1240 N WASHINGTON ST,BROADWAY EAST,12.0,EASTERN,"(39.30538265, -76.5902436)",39.30538265,-76.5902436
3769,1452 006,1810 N GAY ST,BROADWAY EAST,12.0,EASTERN,"(39.31149559, -76.5855671)",39.31149559,-76.5855671
3770,0253 058,875 LEMMON ST,HOLLINS MARKET,9.0,SOUTHERN,"(39.28629724, -76.63072057)",39.28629724,-76.63072057
3771,0169 011,1200 W LEXINGTON ST,POPPLETON,9.0,WESTERN,"(39.29111963, -76.63701527)",39.29111963,-76.63701527
3772,7703D016,0,MORRELL PARK,10.0,SOUTHWESTERN,"(39.26442458, -76.66472252)",39.26442458,-76.66472252
3773,0119 100,1930 W FRANKLIN ST,MIDTOWN-EDMONDSON,9.0,WESTERN,"(39.29398811, -76.6483479)",39.29398811,-76.6483479
3774,1640 081,618 N PORT ST,MCELDERRY PARK,13.0,SOUTHEASTERN,"(39.29838137, -76.58313141)",39.29838137,-76.58313141
3775,5205 019,0,PEN LUCY,4.0,NORTHERN,"(39.34246538, -76.60172866)",39.34246538,-76.60172866
3776,3.10E+65,0,EAST ARLINGTON,7.0,NORTHWESTERN,"(39.32839442, -76.66591725)",39.32839442,-76.66591725
3777,0090 011A,1215 W LAFAYETTE AVE,HARLEM PARK,9.0,WESTERN,"(39.2985308, -76.63808798)",39.2985308,-76.63808798
3778,1166 020,1119 BARCLAY ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30331408, -76.61015456)",39.30331408,-76.61015456
3779,3567 008,1404 MORLING AVE,HAMPDEN,7.0,NORTHERN,"(39.3341015, -76.63903946)",39.3341015,-76.63903946
3780,3949D005,0,LAURAVILLE,3.0,NORTHEASTERN,"(39.34384885, -76.58084239)",39.34384885,-76.58084239
3781,1342 070,21 N SPRING ST,WASHINGTON HILL,12.0,SOUTHEASTERN,"(39.29249554, -76.59794677)",39.29249554,-76.59794677
3782,3055B034B,0,HANLON-LONGWOOD,7.0,NORTHWESTERN,"(39.31478305, -76.67233312)",39.31478305,-76.67233312
3783,2201 078,0,ROSEMONT HOMEOWNERS/TENANTS,9.0,WESTERN,"(39.29372197, -76.65395388)",39.29372197,-76.65395388
3784,7268 004,3627 FAIRHAVEN AVE,CURTIS BAY,10.0,SOUTHERN,"(39.23145185, -76.59031475)",39.23145185,-76.59031475
3785,0855 045,606 PARKIN ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.28177898, -76.63042004)",39.28177898,-76.63042004
3786,6135A025,0,LOWER HERRING RUN PARK,13.0,NORTHEASTERN,"(39.31829728, -76.55583125)",39.31829728,-76.55583125
3787,1060 006,101 W CROMWELL ST,SPRING GARDEN INDUSTRIAL AREA,11.0,SOUTHERN,"(39.26103408, -76.61671644)",39.26103408,-76.61671644
3788,6587B009C,0,CANTON INDUSTRIAL AREA,1.0,SOUTHEASTERN,"(39.27276541, -76.55497234)",39.27276541,-76.55497234
3789,7257 035,0,CURTIS BAY,10.0,SOUTHERN,"(39.23082742, -76.59376469)",39.23082742,-76.59376469
3790,2178 081,0,SHIPLEY HILL,9.0,SOUTHWESTERN,"(39.2818708, -76.65908695)",39.2818708,-76.65908695
3791,2440 007,3112 BAKER ST,ROSEMONT,9.0,SOUTHWESTERN,"(39.30600812, -76.66966067)",39.30600812,-76.66966067
3792,5691 076,0,GLENHAM-BELHAR,2.0,NORTHEASTERN,"(39.34807405, -76.54391836)",39.34807405,-76.54391836
3793,0009 045,1700 PRESBURY ST,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30812698, -76.64502876)",39.30812698,-76.64502876
3794,6732 054,0,GRACELAND PARK,1.0,SOUTHEASTERN,"(39.28389551, -76.52983091)",39.28389551,-76.52983091
3795,4690 018B,2405 BRIARWOOD ROAD,MOUNT WASHINGTON,5.0,NORTHERN,"(39.36109918, -76.66967597)",39.36109918,-76.66967597
3796,4607 001,3400 WOODLAND AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34295017, -76.67340361)",39.34295017,-76.67340361
3797,1590 029,2318 E EAGER ST,MILTON-MONTFORD,13.0,EASTERN,"(39.30196446, -76.58431582)",39.30196446,-76.58431582
3798,3350D110,0,PARKLANE,6.0,NORTHERN,"(39.34189506, -76.66305726)",39.34189506,-76.66305726
3799,7480 018,0,MOUNT WINANS,10.0,SOUTHERN,"(39.26022971, -76.64317419)",39.26022971,-76.64317419
3800,3969M063,0,HILLEN,3.0,NORTHEASTERN,"(39.3443839, -76.58673175)",39.3443839,-76.58673175
3801,1484 058,2310 E OLIVER ST,BROADWAY EAST,13.0,EASTERN,"(39.308048, -76.58493288)",39.308048,-76.58493288
3802,0164 115,246 N BRUCE ST,FRANKLIN SQUARE,9.0,WESTERN,"(39.2916766, -76.64481718)",39.2916766,-76.64481718
3803,3357C018,0,WOODBERRY,7.0,NORTHERN,"(39.33295754, -76.65251579)",39.33295754,-76.65251579
3804,0302 022B,585 BAKER ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.3083829, -76.63987173)",39.3083829,-76.63987173
3805,8393I001,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.31540517, -76.70492796)",39.31540517,-76.70492796
3806,0396 072,1306 ETTING ST,UPTON,11.0,CENTRAL,"(39.30172797, -76.62943564)",39.30172797,-76.62943564
3807,1480 031,2011 E FEDERAL ST,BROADWAY EAST,12.0,EASTERN,"(39.3085527, -76.58956347)",39.3085527,-76.58956347
3808,5190 053,0,WILSON PARK,4.0,NORTHERN,"(39.34436519, -76.60207671)",39.34436519,-76.60207671
3809,0293 074,713 ALLEGANY PL,SANDTOWN-WINCHESTER,7.0,WESTERN,"(39.30854393, -76.64345718)",39.30854393,-76.64345718
3810,4623 025,4717 DELAWARE AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34554822, -76.66940578)",39.34554822,-76.66940578
3811,2755 039,0,CONCERNED CITIZENS OF FOREST PARK,6.0,NORTHWESTERN,"(39.3220085, -76.68162909)",39.3220085,-76.68162909
3812,4976 007N,185 GITTINGS AVE,BELLONA-GITTINGS,4.0,NORTHERN,"(39.37098384, -76.620293)",39.37098384,-76.620293
3813,0127 043,1103 EDMONDSON AVE,HARLEM PARK,9.0,WESTERN,"(39.29530744, -76.63613491)",39.29530744,-76.63613491
3814,1103 001,1701 GUILFORD AVE,GREENMOUNT WEST,12.0,EASTERN,"(39.30902846, -76.61200109)",39.30902846,-76.61200109
3815,0362 020,515 MCMECHEN ST,UPTON,11.0,CENTRAL,"(39.30367438, -76.63199938)",39.30367438,-76.63199938
3816,2880 029,0,FAIRMONT,7.0,SOUTHWESTERN,"(39.30865783, -76.68208353)",39.30865783,-76.68208353
3817,0369 038,1532 BREVARD ST,BOLTON HILL,11.0,CENTRAL,"(39.30863263, -76.62539844)",39.30863263,-76.62539844
3818,2951A032,0,DOLFIELD,6.0,NORTHWESTERN,"(39.33682268, -76.67707594)",39.33682268,-76.67707594
3819,5470A018A,2913 HILLCREST AVE,NORTH HARFORD ROAD,3.0,NORTHEASTERN,"(39.37196959, -76.54579544)",39.37196959,-76.54579544
3820,6235B006,0,PULASKI INDUSTRIAL AREA,2.0,SOUTHEASTERN,"(39.30674728, -76.52997465)",39.30674728,-76.52997465
3821,2101 003,0,CARROLL PARK,10.0,SOUTHWESTERN,"(39.27644738, -76.65449342)",39.27644738,-76.65449342
3822,0302 050,538 GOLD ST,DRUID HEIGHTS,7.0,CENTRAL,"(39.30825322, -76.63865019)",39.30825322,-76.63865019
3823,4790 097,0,MEDFIELD,7.0,NORTHERN,"(39.34116562, -76.64020739)",39.34116562,-76.64020739
3824,3408 099,1503 KENSETT ST,PENN NORTH,7.0,WESTERN,"(39.31328459, -76.64319282)",39.31328459,-76.64319282
3825,2959B114,3948 YELL ST,DOLFIELD,6.0,NORTHWESTERN,"(39.34017959, -76.68190991)",39.34017959,-76.68190991
3826,3408 109,1523 KENSETT ST,PENN NORTH,7.0,WESTERN,"(39.31300201, -76.6435852)",39.31300201,-76.6435852
3827,0419 001,0,BOLTON HILL,11.0,CENTRAL,"(39.30457825, -76.62415826)",39.30457825,-76.62415826
3828,1099B115,1827 AIKEN ST,OLIVER,12.0,EASTERN,"(39.31126057, -76.60037917)",39.31126057,-76.60037917
3829,3345 008,2602 SHIRLEY AVE,GREENSPRING,6.0,NORTHERN,"(39.33533956, -76.66142515)",39.33533956,-76.66142515
3830,6570 097C,0,GREEKTOWN,1.0,SOUTHEASTERN,"(39.28246994, -76.55610813)",39.28246994,-76.55610813
3831,6072K064,0,CEDONIA,2.0,NORTHEASTERN,"(39.33331485, -76.53181799)",39.33331485,-76.53181799
3832,6183 010,0,ORANGEVILLE,13.0,EASTERN,"(39.30308323, -76.55904948)",39.30308323,-76.55904948
3833,6570 014,4624 O'DONNELL ST,GREEKTOWN,1.0,SOUTHEASTERN,"(39.28110599, -76.55650435)",39.28110599,-76.55650435
3834,0266A069,1009 S CAREY ST,WASHINGTON VILLAGE/PIGTOWN,10.0,SOUTHERN,"(39.28173658, -76.63645171)",39.28173658,-76.63645171
3835,3816 053,2238 BARCLAY ST,BARCLAY,12.0,EASTERN,"(39.31537588, -76.6114435)",39.31537588,-76.6114435
3836,1138 075,1607 LLEWELYN AVE,OLIVER,12.0,EASTERN,"(39.30683408, -76.59582291)",39.30683408,-76.59582291
3837,3100A007C,3520 DOLFIELD AVE,ASHBURTON,6.0,NORTHWESTERN,"(39.33470572, -76.67384871)",39.33470572,-76.67384871
3838,1689 022,243 N PATTERSON PARK AVE,PATTERSON PLACE,13.0,SOUTHEASTERN,"(39.29540875, -76.5846614)",39.29540875,-76.5846614
3839,4652C010A,0,CHESWOLDE,5.0,NORTHWESTERN,"(39.3674538, -76.67118133)",39.3674538,-76.67118133
3840,3411 034,2543 FLORA ST,PENN NORTH,7.0,WESTERN,"(39.3140317, -76.6424381)",39.3140317,-76.6424381
3841,3408 133,2517 SALEM ST,PENN NORTH,7.0,WESTERN,"(39.31288548, -76.642867)",39.31288548,-76.642867
3842,1181 010,618 E EAGER ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30150136, -76.60767687)",39.30150136,-76.60767687
3843,8393J052,0,DICKEYVILLE,8.0,SOUTHWESTERN,"(39.31925605, -76.70585948)",39.31925605,-76.70585948
3844,0073 042,1706 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.29904171, -76.64473424)",39.29904171,-76.64473424
3845,0499 038,558 SAINT MARY ST,SETON HILL,11.0,CENTRAL,"(39.2966413, -76.62430208)",39.2966413,-76.62430208
3846,0172 001,928 W LEXINGTON ST,POPPLETON,9.0,WESTERN,"(39.29119373, -76.63328483)",39.29119373,-76.63328483
3847,3357C012A,0,WOODBERRY,7.0,NORTHERN,"(39.33394129, -76.64909709)",39.33394129,-76.64909709
3848,8420 026,0,FRANKLINTOWN,8.0,SOUTHWESTERN,"(39.30915706, -76.71116975)",39.30915706,-76.71116975
3849,3559 001,3100 N CHARLES ST,JOHNS HOPKINS HOMEWOOD,14.0,NORTHERN,"(39.32422129, -76.62062505)",39.32422129,-76.62062505
3850,3559 001,3100 N CHARLES ST,JOHNS HOPKINS HOMEWOOD,14.0,NORTHERN,"(39.32335607, -76.61774136)",39.32335607,-76.61774136
3851,3559 001,3100 N CHARLES ST,HAMPDEN,14.0,NORTHERN,"(39.32386462, -76.62623614)",39.32386462,-76.62623614
3852,2411 016,1730 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7.0,SOUTHWESTERN,"(39.30791581, -76.66596352)",39.30791581,-76.66596352
3853,3559 001,3100 N CHARLES ST,WYMAN PARK,14.0,NORTHERN,"(39.33245634, -76.62514883)",39.33245634,-76.62514883
3854,3559 001,3100 N CHARLES ST,REMINGTON,14.0,NORTHERN,"(39.32482253, -76.62142476)",39.32482253,-76.62142476
3855,3559 001,3100 N CHARLES ST,JOHNS HOPKINS HOMEWOOD,14.0,NORTHERN,"(39.32330159, -76.61984417)",39.32330159,-76.61984417
3856,3559 001,3100 N CHARLES ST,JOHNS HOPKINS HOMEWOOD,14.0,NORTHERN,"(39.32441278, -76.61866184)",39.32441278,-76.61866184
3857,7037B001,3533 S HANOVER ST,BROOKLYN,10.0,SOUTHERN,"(39.23963761, -76.60866586)",39.23963761,-76.60866586
3858,4820B056,1008 BELLEMORE ROAD,NORTH ROLAND PARK/POPLAR HILL,5.0,NORTHERN,"(39.37015743, -76.64209551)",39.37015743,-76.64209551
3859,8032 001,5321 WENDLEY ROAD,WESTGATE,8.0,SOUTHWESTERN,"(39.2853186, -76.70988059)",39.2853186,-76.70988059
3860,0041 062,1101 N FULTON AVE,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.301083, -76.64557531)",39.301083,-76.64557531
3861,5198 030,0,KENILWORTH PARK,4.0,NORTHERN,"(39.34641665, -76.60175927)",39.34641665,-76.60175927
3862,3972C036D,0,PEN LUCY,4.0,NORTHERN,"(39.33861136, -76.60266524)",39.33861136,-76.60266524
3863,7300 005A,3100 TATE ST,FAIRFIELD AREA,10.0,SOUTHERN,"(39.24056054, -76.58088255)",39.24056054,-76.58088255
3864,1184 064,1021 VALLEY ST,JOHNSTON SQUARE,12.0,EASTERN,"(39.30222713, -76.6046835)",39.30222713,-76.6046835
3865,3822 043,2300 GUILFORD AVE,BARCLAY,12.0,NORTHERN,"(39.31553827, -76.61296164)",39.31553827,-76.61296164
3866,4584 014,3111 W BELVEDERE AVE,CENTRAL PARK HEIGHTS,6.0,NORTHWESTERN,"(39.34944972, -76.67438642)",39.34944972,-76.67438642
3867,4171 043,1932 N PATTERSON PARK AVE,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31348717, -76.58629874)",39.31348717,-76.58629874
3868,4171 113,1920 PERLMAN PL,SOUTH CLIFTON PARK,12.0,EASTERN,"(39.31321112, -76.58700377)",39.31321112,-76.58700377
3869,7492B001A,0,LAKELAND,10.0,SOUTHERN,"(39.2560507, -76.64792265)",39.2560507,-76.64792265
3870,1456 117,1727 TERRELL PL,BROADWAY EAST,12.0,EASTERN,"(39.31011438, -76.59354499)",39.31011438,-76.59354499
3871,6722 039,6327 HUDSON ST,GRACELAND PARK,1.0,SOUTHEASTERN,"(39.28347545, -76.53870484)",39.28347545,-76.53870484
3872,3357F009,0,WOODBERRY,6.0,NORTHERN,"(39.34001525, -76.65427773)",39.34001525,-76.65427773
3873,0055A017,1132 N CALHOUN ST,SANDTOWN-WINCHESTER,9.0,WESTERN,"(39.30185544, -76.6405173)",39.30185544,-76.6405173
3874,0412 062,1215 SHIELDS PL,UPTON,11.0,CENTRAL,"(39.29894453, -76.63148324)",39.29894453,-76.63148324
3875,2295 053,0,ALLENDALE,8.0,SOUTHWESTERN,"(39.29300942, -76.68306613)",39.29300942,-76.68306613
